student_id,age,sex,course,yr_level,socioeconomic_stat,fam_support,working_stud,scholar,personality_type,TM1,TM2,TM3,TM4,TM5,TM6,TM7,CAP1,CAP2,CAP3,CAP4,GSS1,GSS2,GSS3,GSS4,GSS5,GSS6,GSS7,EP1,EP2,EP3,EP4,EP5,EP6,NT1,NT2,NT3,desktop,laptop,mobile_phone,tablet,wifi,prepaid-wifi,cellular_data,hotspot,vhigh_speed,high_speed,moderate_speed,light_speed,GPA,gpa_range
2021-01651,19,F,CD,2,low,no,yes,no,ISFP,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,always,sometimes,always,always,never,never,always,never,never,never,always,never,never,never,always,never,1.6618,Superior
2021-03025,19,F,CD,2,lower middle,yes,no,no,ENTJ,always,always,always,always,sometimes,always,sometimes,sometimes,Sometimes,sometimes,sometimes,always,always,always,sometimes,always,always,always,always,always,always,always,always,always,sometimes,always,always,always,always,always,always,always,always,sometimes,sometimes,always,always,sometimes,always,1.9412,Very-Satisfactory
2021-01005,,F,CD,2,low,yes,no,no,ISTJ,always,sometimes,sometimes,always,always,always,always,always,always,sometimes,always,always,always,sometimes,always,always,sometimes,always,always,sometimes,always,always,sometimes,never,always,sometimes,always,never,never,always,never,never,never,always,never,never,never,always,never,1.5882,Superior
2021-01799,20,F,CD,2,low,yes,no,no,ISFJ,sometimes,sometimes,always,sometimes,always,sometimes,always,sometimes,sometimes,sometimes,always,sometimes,sometimes,always,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,never,always,always,sometimes,always,never,never,always,never,sometimes,never,always,sometimes,never,sometimes,always,sometimes,1.5294,Superior
2021-01550,19,F,CD,2,low,yes,no,no,INFP,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,always,always,always,always,always,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,always,always,never,never,always,never,never,never,always,sometimes,sometimes,always,always,sometimes,1.5147,Superior
2021-01284,19,F,CD,2,low,yes,no,no,ESFP,never,never,sometimes,never,never,never,never,always,always,never,always,never,always,never,always,never,never,never,sometimes,sometimes,sometimes,never,never,never,sometimes,always,never,never,never,always,never,never,never,always,never,never,never,never,always,1.7059,Superior
2021-02912,19,F,CD,2,low,yes,no,no,ESFP,sometimes,sometimes,sometimes,always,always,always,never,always,sometimes,never,always,sometimes,always,never,always,always,never,always,always,sometimes,never,never,never,sometimes,sometimes,never,always,never,sometimes,always,never,sometimes,always,sometimes,never,never,sometimes,always,sometimes,1.4265,Superior
2021-00603,18,F,CD,2,low,yes,no,no,ISTJ,always,never,sometimes,always,always,always,always,always,always,always,sometimes,sometimes,always,sometimes,always,sometimes,sometimes,always,always,always,always,always,always,always,always,always,always,never,sometimes,always,never,always,never,always,sometimes,sometimes,sometimes,always,never,1.4706,Superior
2021-01647,20,F,CD,2,low,yes,no,no,ESTJ,always,sometimes,always,always,always,always,sometimes,always,always,always,always,sometimes,always,sometimes,always,always,sometimes,always,always,always,sometimes,sometimes,sometimes,always,always,always,always,never,sometimes,always,never,never,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,1.6324,Superior
2020-00558,20,F,CD,3,lower middle,yes,no,no,ESFP,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,never,never,never,never,always,never,never,never,never,always,always,never,never,always,sometimes,sometimes,always,sometimes,sometimes,1.7212,Superior
2020-02938,,F,CD,3,low,yes,yes,no,ISFJ,always,sometimes,always,sometimes,always,always,always,always,always,always,always,sometimes,sometimes,sometimes,always,sometimes,always,always,always,always,sometimes,always,sometimes,never,sometimes,sometimes,always,never,always,always,never,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,1.7212,Superior
2020-00505,21,F,CD,3,middle,yes,no,no,ENTP,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,always,always,sometimes,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,2.0577,Very-Satisfactory
2016-01035,22,F,CD,3,low,yes,no,yes,ESFP,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,always,always,always,always,always,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,always,never,never,always,always,always,never,sometimes,sometimes,sometimes,2.2916,Satisfactory
2020-00528,20,M,CD,3,low,yes,no,yes,ENFJ,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,never,sometimes,always,never,always,never,always,never,sometimes,sometimes,never,never,1.2596,Superior
2020-00573,20,F,CD,3,lower middle,yes,yes,yes,INTJ,always,sometimes,sometimes,sometimes,sometimes,always,always,always,always,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,always,always,always,always,sometimes,sometimes,always,sometimes,always,always,always,always,always,always,never,always,always,always,never,always,sometimes,never,never,2.0865,Very-Satisfactory
2020-00583,20,F,CD,3,low ,yes,no,no,ISFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,always,always,always,sometimes,sometimes,sometimes,never,sometimes,never,always,sometimes,sometimes,never,never,always,never,sometimes,never,always,never,sometimes,sometimes,sometimes,sometimes,1.9712,Very-Satisfactory
2017-01221,21,F,CD,3,upper middle,yes,no,no,INFP,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,always,sometimes,always,always,sometimes,always,sometimes,always,sometimes,always,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,always,never,always,never,sometimes,sometimes,never,sometimes,sometimes,sometimes,1.6635,Superior
2020-00569,22,F,CD,3,low ,yes,no,no,ISTJ,sometimes,sometimes,always,always,always,sometimes,sometimes,always,always,always,sometimes,always,sometimes,always,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,never,sometimes,sometimes,always,sometimes,always,never,sometimes,always,never,never,never,always,sometimes,never,sometimes,never,never,1.7788,Very-Satisfactory
2020-00568,20,F,CD,3,low,yes,no,no,INFP,sometimes,sometimes,always,always,always,never,always,always,always,sometimes,always,always,always,always,never,always,always,always,always,sometimes,always,never,always,sometimes,always,sometimes,always,sometimes,sometimes,always,never,always,always,sometimes,sometimes,never,sometimes,always,always,2.0962,Very-Satisfactory
2020-00554,21,F,CD,3,low,yes,no,no,INFJ,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,always,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,sometimes,always,sometimes,always,always,always,sometimes,sometimes,sometimes,sometimes,always,always,always,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,sometimes,1.9519,Very-Satisfactory
2020-00557,20,F,CD,3,low,yes,no,no,ESFJ,sometimes,sometimes,always,always,always,always,sometimes,always,always,sometimes,always,sometimes,always,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,never,never,always,never,never,never,never,never,never,always,never,never,1.9808,Very-Satisfactory
2020-00543,,F,CD,3,low,yes,yes,no,INFJ,sometimes,sometimes,sometimes,never,sometimes,never,sometimes,sometimes,always,sometimes,always,sometimes,sometimes,never,sometimes,sometimes,always,always,sometimes,sometimes,never,never,sometimes,sometimes,always,sometimes,always,never,never,always,never,sometimes,never,always,always,never,never,always,always,2.2404,Very-Satisfactory
2020-03640,22,F,CD,3,low,yes,no,no,ISFP,always,sometimes,always,sometimes,sometimes,never,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,always,always,sometimes,sometimes,sometimes,never,never,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,always,sometimes,always,sometimes,sometimes,sometimes,sometimes,1.9423,Very-Satisfactory
2020-00560,21,F,CD,3,low,yes,yes,no,INFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,always,always,sometimes,always,sometimes,always,never,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,never,never,always,never,never,never,always,never,never,never,always,1.7885,Very-Satisfactory
2020-00567,22,M,CD,3,low,yes,no,no,ESFJ,sometimes,sometimes,always,never,always,never,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,always,never,sometimes,never,always,sometimes,never,never,never,always,1.7981,Very-Satisfactory
2020-00621,21,F,CD,3,low,yes,no,yes,ISFP,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,never,always,never,never,never,always,sometimes,never,never,sometimes,sometimes,1.8365,Very-Satisfactory
2020-00545,20,F,CD,3,low,yes,no,no,ISTP,sometimes,sometimes,sometimes,never,never,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,never,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,always,never,sometimes,never,always,sometimes,sometimes,sometimes,always,always,1.7788,Very-Satisfactory
2020-00539,21,F,CD,3,low,yes,no,no,ISFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,never,sometimes,always,never,sometimes,sometimes,always,never,sometimes,sometimes,sometimes,sometimes,1.75,Very-Satisfactory
2020-00546,21,F,CD,3,middle,yes,no,no,ISFJ,sometimes,sometimes,always,always,always,sometimes,sometimes,always,always,always,always,always,always,sometimes,sometimes,always,always,always,always,always,always,always,sometimes,always,always,sometimes,always,never,never,always,never,always,never,sometimes,sometimes,never,never,always,never,1.5192,Superior
2017-01084,22,F,CD,3,low,yes,no,no,INFP,sometimes,always,sometimes,always,always,sometimes,always,always,sometimes,sometimes,always,always,always,always,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,always,always,never,always,always,never,always,sometimes,sometimes,never,sometimes,sometimes,always,always,1.7788,Very-Satisfactory
2020-03322,20,F,CD,3,middle,yes,no,no,ESFJ,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,always,always,always,sometimes,always,always,sometimes,always,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,always,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,sometimes,sometimes,1.7788,Very-Satisfactory
2020-00566,19,M,CD,3,low ,yes,no,no,ENFJ,sometimes,sometimes,sometimes,never,sometimes,always,sometimes,always,always,always,always,always,always,sometimes,always,always,always,always,sometimes,sometimes,always,always,sometimes,always,always,sometimes,sometimes,never,sometimes,always,never,sometimes,never,always,sometimes,never,never,sometimes,never,1.9231,Very-Satisfactory
2020-03325,20,F,CD,3,lower middle,yes,no,no,ESFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,never,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,2.1731,Very-Satisfactory
2020-00526,20,F,CD,3,low ,yes,yes,no,INTJ,always,always,always,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,always,always,always,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,always,always,sometimes,never,never,always,never,always,never,always,always,sometimes,sometimes,sometimes,sometimes,1.8558,Very-Satisfactory
2020-00540,20,F,CD,3,low,yes,no,no,ESFJ,sometimes,sometimes,sometimes,always,always,always,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,sometimes,never,always,never,sometimes,never,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,always,never,never,never,always,sometimes,sometimes,sometimes,sometimes,sometimes,1.7885,Very-Satisfactory
2020-00527,20,F,CD,3,low,yes,yes,no,ESFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,1.6635,Superior
2020-00531,20,M,CD,3,lower middle,yes,no,no,ESTJ,sometimes,sometimes,sometimes,never,never,sometimes,always,always,sometimes,sometimes,sometimes,always,never,sometimes,sometimes,sometimes,always,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,never,sometimes,always,sometimes,sometimes,never,always,never,never,never,never,always,2.0577,Very-Satisfactory
2020-00524,21,,CD,3,low,no,yes,no,ENFJ,always,always,always,sometimes,sometimes,never,never,always,always,always,always,always,sometimes,always,sometimes,always,always,always,always,always,sometimes,always,sometimes,always,always,always,sometimes,always,sometimes,always,sometimes,always,always,sometimes,sometimes,always,sometimes,sometimes,always,2.1827,Very-Satisfactory
2020-02818,21,M,CD,3,low ,yes,no,no,ISTJ,sometimes,sometimes,always,sometimes,always,always,sometimes,always,always,sometimes,sometimes,always,always,sometimes,always,always,never,sometimes,always,sometimes,never,sometimes,sometimes,always,always,sometimes,never,sometimes,sometimes,sometimes,always,always,always,always,sometimes,sometimes,always,always,never,1.6364,Superior
2020-01962,20,F,IT,3,low ,yes,no,no,ESFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,always,always,always,always,always,never,never,always,never,never,never,always,sometimes,sometimes,sometimes,always,sometimes,2.3929,Satisfactory
2020-00583,20,F,CD,3,lower middle,yes,no,no,ESFP,always,sometimes,always,sometimes,always,sometimes,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,sometimes,always,sometimes,always,always,always,sometimes,never,always,sometimes,sometimes,never,always,always,always,sometimes,sometimes,1.9712,Very-Satisfactory
2020-00489,20,M,CD,3,middle,yes,yes,no,ESFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,always,always,always,always,always,always,always,always,always,sometimes,sometimes,sometimes,sometimes,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,1.8365,Very-Satisfactory
2020-00575,20,F,CD,3,lower middle,yes,no,no,ENFJ,sometimes,sometimes,always,always,always,sometimes,sometimes,always,sometimes,sometimes,always,sometimes,sometimes,always,sometimes,always,always,always,always,always,sometimes,sometimes,sometimes,sometimes,always,always,always,sometimes,sometimes,always,never,always,never,sometimes,sometimes,sometimes,sometimes,sometimes,never,2.1635,Very-Satisfactory
2019-02735,21,F,CD,3,low,yes,no,no,INFJ,sometimes,sometimes,always,never,sometimes,sometimes,sometimes,always,sometimes,sometimes,always,always,sometimes,never,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,always,never,sometimes,always,never,sometimes,sometimes,always,sometimes,never,sometimes,sometimes,sometimes,2.5577,Satisfactory
2019-03405,22,F,CD,3,low,yes,no,no,ENFJ,always,sometimes,sometimes,always,always,sometimes,sometimes,always,sometimes,sometimes,always,always,sometimes,always,sometimes,sometimes,always,always,always,always,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,always,never,always,never,never,never,always,sometimes,never,never,always,sometimes,1.8558,Very-Satisfactory
2020-03301,21,F,CD,3,low ,yes,no,no,ESFJ,sometimes,sometimes,always,always,always,always,sometimes,always,sometimes,always,sometimes,sometimes,sometimes,sometimes,never,always,always,always,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,always,never,always,sometimes,always,never,never,always,never,never,never,2.0962,Very-Satisfactory
2020-01404,22,F,CD,3,low ,yes,no,no,ESFJ,sometimes,sometimes,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,never,always,always,always,sometimes,always,always,sometimes,always,sometimes,never,always,sometimes,always,sometimes,sometimes,always,never,sometimes,sometimes,always,sometimes,never,sometimes,sometimes,always,2.1442,Very-Satisfactory
2020-00536,20,F,CD,3,low,yes,yes,no,ISTJ,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,never,always,never,sometimes,never,sometimes,sometimes,always,never,never,never,2.25,Satisfactory
2020-00551,21,F,CD,3,low,yes,no,no,INFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,always,sometimes,always,sometimes,sometimes,sometimes,always,always,always,always,always,sometimes,sometimes,never,2.4327,Satisfactory
2020-00545,20,F,CD,3,low,yes,no,no,ESFJ,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,never,sometimes,always,never,sometimes,never,always,always,sometimes,sometimes,always,always,1.7788,Very-Satisfactory
2020-00553,25,F,CD,3,low,yes,no,no,ESTP,sometimes,sometimes,always,sometimes,always,never,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,never,always,never,sometimes,always,sometimes,always,always,never,never,sometimes,always,sometimes,always,never,never,always,never,never,never,always,sometimes,never,never,sometimes,always,2.2404,Very-Satisfactory
2019-00989,21,F,CD,4,low,yes,no,no,ISFP,sometimes,sometimes,always,sometimes,sometimes,always,sometimes,always,always,sometimes,always,always,always,always,sometimes,always,always,always,always,always,sometimes,always,always,always,always,sometimes,always,never,never,always,never,always,sometimes,always,never,sometimes,always,sometimes,sometimes,1.8333,Very-Satisfactory
2017-00600,21,F,CD,4,lower middle,yes,no,no,ISFJ,sometimes,always,sometimes,sometimes,sometimes,always,sometimes,always,always,always,always,always,always,always,always,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,always,always,sometimes,always,always,never,always,never,sometimes,sometimes,sometimes,sometimes,sometimes,always,1.8333,Very-Satisfactory
2019-00599,21,F,CD,4,low,yes,yes,no,ESTP,sometimes,sometimes,always,sometimes,always,never,sometimes,always,always,sometimes,always,sometimes,sometimes,never,sometimes,always,sometimes,always,sometimes,always,never,sometimes,sometimes,always,sometimes,sometimes,always,never,sometimes,always,never,never,never,always,sometimes,never,never,sometimes,always,1.75,Very-Satisfactory
2019-00943,21,F,CD,4,low,yes,no,no,INTJ,sometimes,always,sometimes,never,never,always,sometimes,always,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,never,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,always,never,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,1.8333,Very-Satisfactory
2021-00243,18,F,CS,2,low,yes,no,no,ISFP,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,always,always,always,always,always,always,always,sometimes,always,always,sometimes,always,sometimes,always,sometimes,sometimes,always,always,always,sometimes,never,never,always,never,never,never,always,never,always,never,never,never,1.3173,Superior
2021-01122,20,F,CS,2,low,yes,no,no,INTJ,sometimes,always,always,always,always,sometimes,never,always,always,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,sometimes,always,always,always,always,never,sometimes,always,never,sometimes,always,always,sometimes,never,high,sometimes,never,1.9615,Very-Satisfactory
2021-00265,22,M,CS,2,low,yes,no,no,ENTP,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,never,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,never,never,always,never,sometimes,never,always,sometimes,never,sometimes,always,never,2.1827,Very-Satisfactory
2021-00274,27,F,CS,2,low,no,yes,no,ISFP,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,never,never,sometimes,sometimes,sometimes,sometimes,never,never,always,never,never,never,always,sometimes,never,sometimes,sometimes,always,1.4423,Superior
2021-00168,18,F,CS,2,low,yes,no,no,ISTP,always,sometimes,always,always,always,always,sometimes,always,always,sometimes,always,always,always,sometimes,sometimes,always,sometimes,always,always,always,sometimes,never,sometimes,sometimes,always,always,always,sometimes,sometimes,always,sometimes,sometimes,never,always,always,sometimes,sometimes,always,always,1.4135,Superior
2021-01164,18,M,CS,2,low,yes,no,no,ISTJ,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,always,always,always,always,always,always,always,sometimes,always,always,always,sometimes,sometimes,always,always,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,never,always,sometimes,sometimes,never,sometimes,sometimes,moderate,sometimes,1.3558,Superior
2021-00128,19,M,CS,2,lower middle,yes,yes,no,ISTJ,sometimes,never,sometimes,always,always,always,sometimes,always,always,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,always,never,sometimes,never,never,never,never,sometimes,sometimes,sometimes,never,sometimes,always,never,always,always,sometimes,sometimes,sometimes,sometimes,always,always,1.7404,Superior
